State_UT,Year,"Agriculture, forestry and fishing",Crops,Livestock,Forestry and logging,Fishing and aquaculture,Mining and quarrying,Primary,Manufacturing,"Electricity, gas, water supply & other utility services",Construction,Secondary,"Trade, repair, hotels and restaurants",Trade & repair services,Hotels & restaurants,"Transport, storage, communication & services related to broadcasting",Railways,Road transport,Water transport,Air transport,Services incidental to transport,Storage,Communication & services related to broadcasting,Financial services,"Real estate, ownership of dwelling & professional services",Public administration,Other services,Tertiary,TOTAL GSVA at basic prices,Taxes on Products,Subsidies on products,Gross State Domestic Product,Population ('00),Per Capita GSDP (Rs.)
Puducherry,2013-14,1.7,1.6,1.9,-6.6,2.8,-25,-6.2,30.8,9.5,20.5,26.6,-5.2,-6.1,1.1,4.9,7.7,0.1,-23.9,NA,15,-38.1,18.6,0.7,10.4,-6.2,1,1,11.7,1.3,-12.5,10.7,2.6,7.9
Puducherry,2014-15,8.1,10.5,0.6,-6,20,15.9,9.9,6.8,-18.4,3.8,5,2.7,0.2,20.2,3.1,7.7,-0.1,-8.4,NA,10.8,-3.8,9.4,4.7,21.3,6.4,8.4,9,7.1,-1.8,-24.8,6.6,2.7,3.8
Puducherry,2015-16,11,15.2,14.4,1.5,2.5,9.9,10.7,0,15.8,2.6,1.2,23.6,21.3,36.7,9.8,14.2,5,31.3,NA,39.4,8,14.3,5.7,14.1,3.7,14.5,14.1,7.6,6.6,-5.7,7.7,2.6,5
Puducherry,2016-17,9.5,16.7,6.5,11,5.2,11.9,10.1,2.4,0.3,5.7,3.4,19.5,20.8,12.8,11,0.8,15.1,3.1,NA,27.2,29.6,5.6,8.6,14.3,3,8.7,12.2,8,-0.8,-34.3,7.5,2.7,4.7
Punjab,2012-13,0.9,0.1,3.7,-1.7,1.6,-46,0.9,3.8,5.3,-1.8,2.2,8.9,9.2,4.5,10.8,20.2,7,NA,76.3,8.2,79,4.2,6,7.6,10,8.6,8.6,4.6,13.5,4.4,5.3,1.3,4
Punjab,2013-14,3.6,3.7,5.3,-1.9,4.9,284.9,3.7,4.6,3.8,1.7,3.7,9,9.3,4.6,5.5,-5.8,8.8,NA,-19,8.9,-31.1,13.4,5.8,5.7,3.7,9.3,6.9,5.2,10,-16.5,6.3,1.3,4.9
Punjab,2014-15,-3.4,-6.4,2.9,-2.2,10.3,7.9,-3.4,4.6,6.2,0.4,3.6,11,11.3,4.8,7.3,0.5,8.6,NA,8.6,8.6,8,8,6.5,7.6,7.4,11.2,8.9,4,10.4,-8.2,4.9,1.3,3.6
Rajasthan,2012-13,3,3,4.7,-1,8.7,75.4,12.7,-19.6,5.6,-2.1,-11.5,8.5,9.2,-2.4,13.1,33.4,10.5,NA,80.7,10.8,-1,10.7,7.4,9.2,-0.3,7.7,8.3,4.2,14,25,4.2,1.4,2.8
Rajasthan,2013-14,6,7,6.5,-0.7,7.1,1.5,5,3.5,1.2,2.9,3.1,8.8,9.4,-0.5,12.2,16,8,NA,-22.5,8.6,15.8,21.1,7.4,4.7,16.5,7.8,8.6,6,5.8,3.9,6.1,1.4,4.6
Rajasthan,2014-15,-0.9,-9.9,19.2,0.4,32,6.9,0.7,6,9.3,4.4,5.6,10.4,10.8,3.1,10.6,6.4,6.5,NA,23.9,6.8,11.8,20.9,6.3,7.7,15.4,16,10.7,6,8,6.8,6.1,1.4,4.6
Sikkim,2012-13,3.6,4.4,-3,-0.2,10.1,6.3,3.6,0.3,-8.1,-5.9,-2.6,62,73.3,-1.3,19.1,NA,25,NA,NA,NA,NA,1.1,5,2.1,7.9,0.8,10.7,1.7,21.4,15.5,2.3,1.1,1.1
Sikkim,2013-14,3.6,2.4,20.7,-3.1,10.4,27.1,3.8,8.1,-4.2,5.5,4.7,19.6,21.5,1,11.1,NA,6.2,NA,NA,NA,NA,29.4,5.2,3.8,4.9,1.3,6.4,5.2,23.3,-4.7,6.1,1,5.1
Sikkim,2014-15,1.4,0.6,9.2,-0.2,10.3,4.6,1.4,2.4,13.3,6.4,5.3,0.3,0,4,7.6,NA,6,NA,NA,NA,NA,12.5,5.7,5,24.2,12.6,11.1,6.8,-4,1.5,6.3,1,5.3
Sikkim,2015-16,3,2.4,9,-1.2,10.1,12.7,3.1,5.2,6.6,5.9,5.7,10,10,10,12.9,NA,12.4,NA,NA,NA,NA,14.3,5.3,4.4,12.3,6.9,8.9,6.5,6.5,6.5,6.5,1.1,5.3
Tamil Nadu,2012-13,-10.9,-21.5,7.9,-2.4,1,-10.7,-10.9,12.1,1.2,0.3,7.4,9.6,10.7,2.7,7,11.8,7.1,-12.8,72.1,7,-1.7,4.1,8.9,7,-9.6,3.6,6.1,4.4,9.4,6.5,4.8,0.9,3.9
Tamil Nadu,2013-14,17.3,19.8,18.2,-1.2,0.9,-2.6,16.5,-1.2,4.4,8.5,2.3,6.9,7.1,5.9,5.3,5.6,4.3,-8.4,-24.9,-5,8.8,17.4,6.4,9.9,6.7,7.3,7.5,6.6,2.5,-15.6,6.9,0.9,5.9
Tamil Nadu,2014-15,8.7,6.2,13.9,-5.2,8.1,-18.7,7.9,1.8,2.1,3.3,2.3,7,6.3,12.3,4.7,7.3,0.7,16.4,182.9,-9.4,14.5,13.6,9.9,11.7,8.9,7.4,8.6,6.3,10.4,-1.2,6.9,0.9,6
Tamil Nadu,2015-16,-1.5,-3.5,0.8,-1.8,3.5,-5.8,-1.6,7.1,-2.7,8.4,7.3,6.7,5.7,13.4,10.6,7.7,5.2,19.2,87.9,13.4,18.6,12.8,10.3,13,3.7,12.1,10.2,7.7,16.1,4,8.8,0.9,7.8
Tamil Nadu,2016-17,-2.9,-8.1,2.7,-3.1,7.8,11.3,-2.6,1.6,2.1,7.8,3.9,11.4,10.4,17.7,7.8,6.7,1.7,17,41.7,11,19,11.6,10.1,11.1,18.1,14.6,11.5,7.3,9.4,-9.3,7.9,0.9,6.9
Telengana,2012-13,8.8,9.8,8,-0.6,10.4,4.3,8.1,-14.8,-31.9,1.6,-12.2,7.4,8.1,4.4,10.3,3.8,9.4,NA,73.6,21.9,-20.8,4.4,9.7,12.8,1.9,1,8.5,2.7,4.3,5.8,2.7,1,1.7
Telengana,2013-14,4,4.8,2.3,-2.5,14.4,-2.3,2.9,-0.2,39.3,-7.7,0.3,8.2,14.9,-22,3.9,7,5.6,NA,-24.3,-12.5,4.9,14.1,10.1,11.6,5.2,8.2,8.7,5.6,2.8,-4.5,5.6,1,4.5
Telengana,2014-15,-9.5,-20.6,8.1,-2.7,8.5,23.3,-4.4,8.2,-18.8,16.2,7.9,21.1,22.8,9.7,9.5,-3.5,7.8,NA,247.1,0.8,10.8,11.5,12.6,9.8,13.8,9.8,12.7,8.2,5.2,-26.5,8.7,1,7.7
Telengana,2015-16,-6.3,-15.8,6.3,-2.1,-11,8,-3.4,6.2,-11.7,6.8,5.1,11,11.7,5.9,12.4,-1.4,12.2,NA,30.8,12.3,17.9,13.5,6.8,12.1,16.6,11.6,11.4,7.4,36.7,33,9.5,1,8.4
Telengana,2016-17,12.1,19,6.4,-1.4,4.7,15.6,12.8,7.1,-2.4,6,6.2,9.8,10.2,6.3,11.2,1.5,12,NA,33.4,12.6,12.6,6,9.8,7.2,2.6,6.2,8.2,8.5,19.7,-10.3,10.1,1,9
Tripura,2012-13,7.7,5.9,9.1,-0.1,36.3,4.6,7.1,58.8,21.6,1,20.3,15.6,15.6,NA,-9.5,10.7,NA,NA,NA,34.8,20.5,-65.4,14.6,12,9.4,0.8,7.6,9.2,6.1,20.8,8.7,1.2,7.4
Tripura,2013-14,17.4,8.8,89.3,19.7,18,1.1,14.4,-6.5,-15.5,11.6,0.5,-4.3,-4.3,NA,3.9,229.4,NA,NA,NA,2.3,6,7.4,5.9,7.7,3.5,26.3,7.8,8.9,17.2,8.2,9.3,1.2,8
Tripura,2014-15,9.1,9.7,8.7,8.8,7,7.5,8.8,12.7,9.9,11.2,11.5,10.9,10.9,NA,32.4,8,NA,NA,NA,33.4,23.8,29.2,9.6,16.5,11,2.8,10.7,10.2,-2.6,-3.1,9.9,1.2,8.6
Uttar Pradesh,2012-13,4.6,5,4.9,-1.2,4.7,6.6,4.6,4.3,5.8,1,2.9,0,0.2,-1.5,14.1,6.7,18.2,-51.5,78.8,13.1,2.3,14.8,5.3,5.1,11.6,0.8,5.5,4.6,2.2,6.5,4.3,1.5,2.7
Uttar Pradesh,2013-14,-0.5,-2.3,4.7,-1.9,3.3,27.2,0.5,13.9,13,1.1,8,10.1,9.8,12.3,11.9,7,11.5,-36.6,0.1,15.2,5.3,19.3,2.8,7,2.6,5,7.1,5.5,7.3,-12.1,6.4,1.5,4.8
Uttar Pradesh,2014-15,-2.8,-6.3,5.7,-1.9,6.4,4.3,-2.5,5.3,5.5,7.5,6.3,6.1,7.6,-4.8,22.3,7,27.4,23.9,124,6.4,20,26,2.8,10.3,8,11.5,10.4,5.9,9.6,3.4,6.3,1.5,4.7
Uttar Pradesh,2015-16,5.9,6.9,5.2,-2.2,7.8,2.2,5.7,6.8,7.5,3.2,5.3,6.8,6.8,6.8,6.9,-2.2,11.3,11.2,11.3,11.3,9,4.6,9.6,9.8,7.4,8.2,8.2,6.8,8.9,2.9,7.1,0,7.1
Uttarakhand,2012-13,1.9,1.1,7.3,-1.5,1.5,-2.4,1.4,12.1,7.5,-0.4,9.8,9.5,11.4,-1.5,9,11.4,10.4,NA,75.2,NA,8.6,8.2,1,8.7,-28.3,24.1,6.3,7.4,7.5,18.2,7.2,1.3,5.8
Uttarakhand,2013-14,-1.2,-6.1,6.3,4.2,1.2,62,6.3,3.8,0.9,16.7,5.4,8.7,11,-6.3,9.3,1.4,4.7,NA,66.4,NA,2.9,11.6,6.1,-2.2,44.5,17.5,10.9,7.4,12.4,-13.6,8.2,1.3,6.8
Uttarakhand,2014-15,0.7,-0.2,2,1.5,2.2,-34.5,-5.6,5.4,9.2,0.3,4.8,4.3,3.9,7.5,10.7,13.8,5.9,NA,78.3,NA,-11.1,12.6,4,9.3,13.3,14.7,8.9,4.9,9,17.5,5,1.4,3.6
Uttarakhand,2015-16,4.2,3.7,3.8,6.2,1.6,22.9,6.5,1.7,9.5,29.1,6.4,8.1,9,1.5,13.3,14.3,17.7,NA,93.2,NA,0.9,11,3.7,7.9,15.1,21,11.8,8.3,12.3,7.4,8.7,1.3,7.3
